Game Name,System Full,Units(m),Publisher,Developer,Release Date
Sky Jinks,Atari 2600,0,Activision,Activision,1/1/1982
Squeeze Box,Atari 2600,0,US Games,US Games,1/1/1982
Super Cobra,Atari 2600,0,Parker Bros.,Parker Bros,1/1/1983
Double-Ender: Robin Hood / Sir Lancelot,Atari 2600,0,Xonox,Xonox,1/1/1983
Ice Hockey,Atari 2600,0.49,Activision,Activision,1/1/1981
Tutankham,Atari 2600,0,Stern,Parker Bros,1/1/1982
Raiders of the Lost Ark,Atari 2600,0.5,Atari,Atari,1/1/1982
Time Warp,Atari 2600,0,Unknown,Zellers,
Boxing,Atari 2600,0.77,Activision,Activision,17/06/1980
Cosmic Ark,Atari 2600,1.05,Imagic,Imagic,1/1/1982
The Earth Dies Screaming,Atari 2600,0,20th Century Fox Video Games,20th Century Fox Video Games,1/1/1983
Galaxian,Atari 2600,0.77,Atari,Atari,1/1/1983
Party Mix,Atari 2600,0,Unknown,Starpath Corp.,1/1/1983
Jungle Fever/Knight on the Town,Atari 2600,0,Playaround,Playaround,1/1/1982
RealSports Boxing,Atari 2600,0.29,Atari,Atari,1/1/1987
Mines of Minos,Atari 2600,0,"CommaVid, Inc.","CommaVid, Inc.",1/1/1982
BurgerTime,Atari 2600,0.59,Mattel Interactive,Mattel,1/1/1982
Cruise Missile,Atari 2600,0,Unknown,Froggo,1/1/1982
Espial,Atari 2600,0,Tigervision,Tigervision,1/1/1984
Montezuma's Revenge featuring Panama Joe,Atari 2600,0,Parker Bros.,Parker Bros,1/1/1984
Grand Prix,Atari 2600,0.48,Activision,Activision,1/1/1982
Pigs in Space,Atari 2600,0,Atari,Atari,1/1/1983
Laser Volley,Atari 2600,0,Zellers,Zellers,1/1/1983
Road Runner,Atari 2600,0,Atari,Atari,1/1/1989
Solar Fox,Atari 2600,0,CBS Electronics,Bally Midway,1/1/1983
Star Wars Return of The Jedi: Death Star Battle,Atari 2600,0,Parker Bros.,Parker Bros,1/1/1983
Swordquest: FireWorld,Atari 2600,0,Atari,Atari,1/1/1982
TestingGame,Atari 2600,0,Unknown,TalonSoft,
Q*bert,Atari 2600,0.58,Parker Bros.,Gottlieb,1/1/1983
Wabbit,Atari 2600,0,Apollo,Apollo,1/1/1982
Ghostbusters,Atari 2600,0.45,Activision,Atari,10/5/1985
Outer Space,Atari 2600,0,Sears,Telegames,1/1/1978
Malagai,Atari 2600,0,Answer Software,Answer Software,1/1/1983
Sea Hawk,Atari 2600,0,Unknown,Froggo,1/1/1982
Space Jockey,Atari 2600,0,US Games,US Games,1/1/1982
Strategy X,Atari 2600,0,Konami,Konami,1/1/1981
3-D Tic-Tac-Toe,Atari 2600,0,Atari,Atari,1/1/1978
Tennis,Atari 2600,0,Activision,Activision,1/1/1981
Kaboom!,Atari 2600,1.15,Activision,Activision,1/1/1981
Xenophobe,Atari 2600,0,Atari,Atari,1/1/1990
Astrochase,Atari 2600,0,Unknown,Parker Bros.,
RealSports Basketball,Atari 2600,0,CGE?Services?Corporation,Atari,10/8/2002
Checkers,Atari 2600,0.24,Atari,Activision,1/7/1980
Defender,Atari 2600,1.05,Atari,Atari,1/1/1981
Fire Fly,Atari 2600,0,Mythicon,Mythicon,1/1/1983
The Music Machine,Atari 2600,0,Unknown,Sparrow,1/1/1983
Harbor Escape,Atari 2600,0,Panda Entertainment,Panda Entertainment,1/1/1983
Private Eye,Atari 2600,0,Activision,Activision,19/09/1983
Bachelorette Party/Burning Desire,Atari 2600,0,Playaround,Playaround,1/1/1982
Megamania,Atari 2600,1.1,Activision,Activision,1/1/1982
Blackjack,Atari 2600,0,Atari,Atari,1/10/1977
Communist Mutants From Space,Atari 2600,0,Arcadia Corporation,Arcadia Corporation,1/1/1982
Double Dragon,Atari 2600,0.47,Activision,Activision,23/07/1989
