Game Name,System Full,Units(m),Publisher,Developer,Release Date
Tom Clancy's Rainbow Six: Patriots,PlayStation 3,0,Ubisoft,Ubisoft,1/1/2014
Sonic's Ultimate Genesis Collection,PlayStation 3,2.36,Sega,Backbone Entertainment,10/2/2009
Dragon Ball Z: Battle of Z,PlayStation 3,0.32,Namco Bandai Games,ArtDink,28/01/2014
inFAMOUS 2,PlayStation 3,1.87,Sony Computer Entertainment,Sucker Punch Productions,7/6/2011
BlazBlue: Continuum Shift EXTEND,PlayStation 3,0.09,Aksys Games,Arc System Works,14/02/2012
The Scourge Project,PlayStation 3,0,Unknown,Tragnarion Studios,
Persona 4 Arena Ultimax,PlayStation 3,0.14,Atlus,Arc System Works,30/09/2014
MLB 10: The Show,PlayStation 3,0.73,Sony Computer Entertainment,SCEA San Diego Studios,2/3/2010
Metal Gear Solid HD Collection,PlayStation 3,1.11,Konami Digital Entertainment,Bluepoint Games,8/11/2011
The BIGS 2,PlayStation 3,0.13,2K Sports,Blue Castle Games,7/7/2009
Disgaea D2,PlayStation 3,0.22,NIS America,Unknown,8/10/2013
de Blob 2,PlayStation 3,0.21,THQ,Blue Tongue,22/02/2011
The Idolmaster: Gravure For You! Vol.7,PlayStation 3,0.02,Namco Bandai Games,Namco Bandai Games,26/04/2012
Star Wars The Clone Wars: Republic Heroes,PlayStation 3,0.44,LucasArts,Krome Studios,6/10/2009
White Album 2: Shiawase no Mukougawa,PlayStation 3,0.04,Aqua Plus,Aqua Plus,20/12/2012
Enchanted Arms,PlayStation 3,0.2,Ubisoft,From Software,3/4/2007
Disney Infinity 2.0: Marvel Super Heroes,PlayStation 3,1.04,Disney Interactive Studios,Avalanche Software,23/09/2014
Spider-Man: Shattered Dimensions,PlayStation 3,0.44,Activision,Beenox Studios,7/9/2010
Fortune Arterial: Akai Yakusoku,PlayStation 3,0,Unknown,August,
Metal Gear Solid V: Ground Zeroes,PlayStation 3,0.59,Konami Digital Entertainment,Kojima Productions,18/03/2014
Final Fantasy XIV Online,PlayStation 3,0.87,Square Enix,Square Enix,27/08/2013
Resident Evil: Revelations,PlayStation 3,0.76,Capcom,Capcom,21/05/2013
Grand Theft Auto IV,PlayStation 3,10.57,Rockstar Games,Rockstar North,29/04/2008
Hasbro Family Game Night 3,PlayStation 3,0.25,Electronic Arts,EA Bright Light,26/10/2010
Skylanders: SuperChargers,PlayStation 3,0.43,Activision,Vicarious Visions,20/09/2015
Bakugan Battle Brawlers: Defenders of the Core,PlayStation 3,0.17,Activision,Now Production,2/11/2010
One Piece: Pirate Warriors 2,PlayStation 3,0.66,Namco Bandai Games,Omega Force,1/1/2014
Lost Planet: Extreme Condition,PlayStation 3,0.64,Capcom,Capcom,26/02/2008
Costume Quest 2,PlayStation 3,0,Double Fine Productions,Double Fine Productions,28/10/2014
Time Crisis: Razing Storm,PlayStation 3,0.54,Namco Bandai,Nex Entertainment,19/10/2010
WRC 5: FIA World Rally Championship,PlayStation 3,0.11,Bigben Interactive,Kylotonn Entertainment,24/11/2015
Heavy Rain: Move Edition,PlayStation 3,0.04,Sony Computer Entertainment,Quantic Dream,8/10/2010
Tales of Symphonia: Dawn of the New World,PlayStation 3,0,Namco Bandai Games,Unknown,25/02/2014
FIFA Street,PlayStation 3,0,Unknown,Unknown,
Musou Orochi Z,PlayStation 3,0.23,KOEI,Omega Force,12/3/2009
F1 2012,PlayStation 3,1.01,Codemasters,Codemasters Birmingham,18/09/2012
Abyss Odyssey,PlayStation 3,0,Atlus,Unknown,15/07/2014
Prison Break: The Conspiracy,PlayStation 3,0.25,Deep Silver,ZootFly,30/03/2010
Darksiders II,PlayStation 3,0.85,THQ,Vigil Games,14/08/2012
Hellion: Mystery of the Inquisition,PlayStation 3,0,Unknown,Flying Fish,
Heartful Simulator Pachi-Slot: To Heart 2,PlayStation 3,0.01,Aqua Plus,Unknown,25/10/2012
Armored Core 4,PlayStation 3,0.2,Sega,From Software,20/03/2007
Robot Rescue Revolution,PlayStation 3,0,Teyon Entertainment,Unknown,4/12/2013
Test Drive Unlimited 2,PlayStation 3,0.63,Atari,Eden Studios,8/2/2011
Megamind: Ultimate Showdown,PlayStation 3,0.15,THQ,THQ Australia Studios Pty Ltd.,2/11/2010
Steins;Gate,PlayStation 3,0.06,5pb,5pb. Inc.,18/09/2015
Homefront,PlayStation 3,0.9,THQ,Kaos Studios,15/03/2011
The Walking Dead: Survival Instinct,PlayStation 3,0.54,Activision,Terminal Reality,19/03/2013
Mahjong Taikai IV,PlayStation 3,0.01,KOEI,Koei,22/11/2006
Far Cry 4,PlayStation 3,1.26,Ubisoft,Ubisoft Montreal,18/11/2014
Disney Sing It: Family Hits,PlayStation 3,0.17,Disney Interactive Studios,Zoe Mode,3/8/2010
3rd Super Robot Wars Z: Tengoku-Hen,PlayStation 3,0.16,Namco Bandai Games,Banpresto,2/4/2015
Rugby League Live,PlayStation 3,0.03,Home Entertainment Suppliers,Home Entertainment Suppliers,2/11/2010
Germinator,PlayStation 3,0,Creat Studios,Unknown,5/3/2013
Juiced 2: Hot Import Nights,PlayStation 3,0.25,THQ,Juice Games,22/10/2007
Digimon All-Star Rumble,PlayStation 3,0.09,Namco Bandai Games,PROPE,11/11/2014
Dungeon Siege III,PlayStation 3,0.39,Square Enix,Obsidian Entertainment,21/06/2011
Final Fantasy XIV: Heavensward,PlayStation 3,0.04,Square Enix,Square Enix,23/06/2015
NHL 11,PlayStation 3,0.59,EA Sports,EA Canada,7/9/2010
Madden NFL 25,PlayStation 3,2.04,Electronic Arts,EA Tiburon,27/08/2013
Brutal Legend,PlayStation 3,0.94,Electronic Arts,Double Fine Productions,13/10/2009
Bladestorm: Nightmare,PlayStation 3,0.03,Tecmo Koei,Omega Force,3/3/2015
Rugby Challenge 2: The Lions Tour Edition,PlayStation 3,0,Tru Blu Entertainment,Unknown,13/06/2013
Captain America: Super Soldier,PlayStation 3,0.2,Sega,Next Level Games,19/07/2011
Need for Speed Rivals,PlayStation 3,1.27,Electronic Arts,Ghost Games,19/11/2013
Unreal Tournament III,PlayStation 3,0.67,Midway Games,Epic Games,11/12/2007
Romance of the Three Kingdoms XIII,PlayStation 3,0.05,Tecmo Koei,Koei Tecmo Games,28/01/2016
Black Death,PlayStation 3,0,Unknown,Darkworks,
DuckTales: Remastered,PlayStation 3,0.05,Capcom,WayForward,13/08/2013
Tom Clancy's Rainbow Six: Vegas 2,PlayStation 3,1.34,Ubisoft,Ubisoft Montreal,19/03/2008
UFC 2009 Undisputed,PlayStation 3,1.76,THQ,Yuke's Osaka,19/05/2009
Just Dance 2018,PlayStation 3,0.07,Ubisoft,Ubisoft Paris,24/10/2017
Call of Juarez: The Cartel,PlayStation 3,0.29,Ubisoft,Techland,19/07/2011
Remember Me,PlayStation 3,0.34,Capcom,DONTNOD Entertainment,4/6/2013
Rui wa Tomo o Yobu,PlayStation 3,0,5pb,Unknown,26/09/2013
World in Conflict: Soviet Assault,PlayStation 3,0,Unknown,Massive Entertainment / Swordfish Studios,
PES 2009: Pro Evolution Soccer,PlayStation 3,2.11,Konami,Konami,11/11/2008
NHL 2K10,PlayStation 3,0.15,2K Sports,Visual Concepts,15/09/2009
Wheels of Destruction,PlayStation 3,0,Unknown,Gelid Games,
Spider-Man: Edge of Time,PlayStation 3,0.23,Activision,Beenox,4/10/2011
Marvel Super Hero Squad: Comic Combat,PlayStation 3,0.2,THQ,THQ,15/11/2011
Tomb Raider: Underworld,PlayStation 3,1.26,Eidos Interactive,Crystal Dynamics,18/11/2008
Uncharted 2: Among Thieves,PlayStation 3,6.74,Sony Computer Entertainment,Naughty Dog,13/10/2009
Mars: War Logs,PlayStation 3,0,Focus Home Interactive,Unknown,13/08/2013
SingStar: Made In Germany,PlayStation 3,0.08,Sony Computer Entertainment,SCEE London Studio,6/11/2009
Monsters: Mass Destruction,PlayStation 3,0,Unknown,Majesco Games,
The Testament of Sherlock Holmes,PlayStation 3,0.24,Focus Home Interactive,Frogwares,30/09/2012
Trivial Pursuit,PlayStation 3,0.28,Electronic Arts,Adrenalin Interactive,10/3/2009
3rd Super Robot Wars Z Jigoku Hen,PlayStation 3,0.23,Namco Bandai Games,Unknown,10/4/2014
F.E.A.R. 3,PlayStation 3,0.45,Warner Bros. Interactive,Day 1 Studios,21/06/2011
NHL 14,PlayStation 3,0.57,EA Sports,EA Canada,10/9/2013
Cars: Mater-National Championship,PlayStation 3,0.41,THQ,Rainbow Studios,30/10/2007
Dragon's Dogma Online,PlayStation 3,0.04,Capcom,Capcom,27/08/2015
Aegis of Earth: Protonovus Assault,PlayStation 3,0.03,Aksys Games,Acquire,15/03/2016
Red Dead Redemption: Undead Nightmare,PlayStation 3,1.18,Rockstar Games,Rockstar San Diego,23/11/2010
Brothers in Arms: Furious 4,PlayStation 3,0.07,Ubisoft,Gearbox Software,30/09/2012
Velocity (2012),PlayStation 3,0,Futurlab 1,Unknown,15/05/2012
Army of Two,PlayStation 3,1.17,Electronic Arts,EA Montreal,7/3/2008
Battle Fantasia,PlayStation 3,0.01,505 Games,Arc System Works,6/3/2009
NBA 2K17,PlayStation 3,0.34,2K Sports,Visual Concepts,16/09/2016
Tiger Woods PGA Tour 12: The Masters,PlayStation 3,0.89,EA Sports,EA Tiburon,29/03/2011
Killzone 2: Flash and Thunder,PlayStation 3,0,Unknown,Guerrilla Games,
Prince of Persia (2008),PlayStation 3,0,Ubisoft,Unknown,2/12/2008
Hail to the Chimp,PlayStation 3,0.05,Gamecock,Wideload Games,24/06/2008
Baja: Edge of Control,PlayStation 3,0.21,THQ,2XL Games,22/09/2008
Superstars V8 Racing,PlayStation 3,0.04,Black Bean Games,Milestone S.r.l,26/06/2009
The Cube,PlayStation 3,0,Funbox Media,Funbox Media,9/11/2012
Rio,PlayStation 3,0.14,THQ,TBA,12/4/2011
DreamWorks Super Star Kartz,PlayStation 3,0.12,Activision,Activision,15/11/2011
Hellraid,PlayStation 3,0,Techland,Unknown,1/1/2014
Karaoke Revolution Presents American Idol Encore,PlayStation 3,0.09,Konami,Blitz Games,18/03/2008
NCAA Basketball 09,PlayStation 3,0.17,EA Sports,EA Canada,17/11/2008
Contrast,PlayStation 3,0,Compulsion Games,Unknown,1/1/2014
Cabela's Outdoor Adventures (2009),PlayStation 3,0.23,Activision,Activision,8/9/2009
Big Sky Infinity,PlayStation 3,0,Unknown,VooFoo Studios,
Sonic Generations,PlayStation 3,1.59,Sega,Sonic Team,1/11/2011
Dragon Age II ( BioWare Signature Edition ),PlayStation 3,0,Unknown,BioWare Corporation,
MotorStorm Complete,PlayStation 3,0.01,Sony Computer Entertainment,Evolution Studios,22/05/2008
Troll & Armor,PlayStation 3,0,Unknown,Emerging Ent.,
The Walking Dead: Season Two,PlayStation 3,0.19,Telltale Games,Unknown,14/10/2014
The History Channel: Great Battles of Middle Ages,PlayStation 3,0,Unknown,Slitherine Software,
WWE '12,PlayStation 3,1.18,THQ,"Yuke's Co., Ltd.",22/11/2011
Kidou Senshi Gundam: Extreme VS,PlayStation 3,0.54,Bandai,Bandai Namco Games,1/12/2011
Yamasa Digi World SP: Bounty Killer,PlayStation 3,0,Yamasa Entertainment,Yamasa Entertainment,30/10/2008
MLB 14 The Show,PlayStation 3,0.43,Sony Computer Entertainment America,SCE San Diego Studio,1/4/2014
Major League Baseball 2K10,PlayStation 3,0.19,2K Sports,Visual Concepts,2/3/2010
DiRT 3: Complete Edition,PlayStation 3,0,Unknown,Unknown,
Ninja Gaiden Sigma 2,PlayStation 3,0.85,Tecmo Koei,Team Ninja,29/09/2009
Okami HD,PlayStation 3,0.14,Capcom,HexaDrive,30/10/2012
Tokyo Twilight Ghost Hunters,PlayStation 3,0.07,Aksys Games,Toybox Games,10/3/2015
Vanquish,PlayStation 3,0.61,Sega,PlatinumGames,19/10/2010
Pro Yakyuu Spirits 2012,PlayStation 3,0.19,Konami Digital Entertainment,Konami,29/03/2012
EyePet,PlayStation 3,1.01,Sony Computer Entertainment,SCEE London Studio,17/09/2010
E.X. Troopers,PlayStation 3,0.05,Capcom,HexaDrive,22/11/2012
Sega Golf Club: Miyazato San Kyoudai Naizou,PlayStation 3,0.01,Sega,Sega,11/11/2006
Yu-Gi-Oh! Millennium Duels,PlayStation 3,0,Konami Digital Entertainment,Unknown,29/04/2014
TV Superstars,PlayStation 3,0.26,Sony Computer Entertainment,SCEE Cambridge,12/10/2010
Rock of the Dead,PlayStation 3,0.05,Conspiracy Entertainment,Epicenter Studios,19/10/2010
The Elder Scrolls V: Skyrim - Dawnguard,PlayStation 3,0,Bethesda Softworks,Unknown,26/02/2013
Wolfenstein,PlayStation 3,0.63,Activision,Raven Software,18/08/2009
Metal Gear Solid 2: Sons of Liberty,PlayStation 3,0,Konami Digital Entertainment,Unknown,8/11/2011
Shin Megami Tensei: Digital Devil Saga 2,PlayStation 3,0,Atlus,Unknown,10/6/2014
SBK X: Superbike World Championship,PlayStation 3,0.21,Deep Silver,Milestone S.r.l,7/12/2010
Tony Hawk's Pro Skater 5,PlayStation 3,0.07,Activision,Robomodo,15/12/2015
NBA Elite 11,PlayStation 3,0,Unknown,EA Tiburon,
Saints Row IV,PlayStation 3,1.33,Deep Silver,Volition Inc.,20/08/2013
FIFA Soccer 08,PlayStation 3,1.75,EA Sports,EA Canada,9/10/2007
Mega Man X5,PlayStation 3,0,Unknown,Capcom,9/9/2014
Record of Agarest War 2,PlayStation 3,0.15,Aksys Games,Compile Heart,26/06/2012
Sengoku Basara 4: Sumeragi,PlayStation 3,0.09,Capcom,Unknown,23/07/2015
Ninja Gaiden III,PlayStation 3,0,Unknown,Team Ninja,
Start the Party! Save the World,PlayStation 3,0.1,Sony Computer Entertainment,Supermassive Games Ltd.,25/11/2011
Alpha Protocol,PlayStation 3,0.43,Sega,Obsidian Entertainment,1/6/2010
Mad Max (2013),PlayStation 3,0,Warner Bros. Interactive Entertainment,Avalanche Studios,1/9/2015
SingStar Chartbreaker,PlayStation 3,0.03,Sony Computer Entertainment,SCEE London Studio,4/12/2009
miCoach,PlayStation 3,0,Unknown,THQ,
The Idolmaster: Gravure For You! Vol. 2,PlayStation 3,0.05,Namco Bandai,Namco Bandai,23/11/2011
Overlord II,PlayStation 3,0.32,Codemasters,Triumph Studios,23/06/2009
Magus,PlayStation 3,0.01,Aksys Games,Black Tower Studios,28/02/2014
TRON: Evolution,PlayStation 3,0.42,Disney Interactive Studios,Propaganda Games,7/12/2010
Nobunaga no Yabou Online: Houou no Shou,PlayStation 3,0.01,Tecmo Koei,Unknown,7/3/2012
Winning Post World,PlayStation 3,0.05,KOEI,Koei,2/4/2009
Eureka Seven AO: Jungfrau no Hanabanatachi,PlayStation 3,0.03,Namco Bandai Games,B.B. Studio,20/09/2012
American Mensa Academy,PlayStation 3,0,Square Enix,Unknown,5/2/2013
Tom Clancy's Ghost Recon: Future Soldier,PlayStation 3,0.96,Ubisoft,Ubisoft Paris,22/05/2012
Lost Planet 3,PlayStation 3,0.21,Capcom,Spark Unlimited,27/08/2013
DJ Hero,PlayStation 3,0.9,Activision,FreeStyleGames,27/10/2009
The Legend of Heroes: Trails in the Sky FC,PlayStation 3,0.04,Falcom Corporation,Nihon Falcom Corporation,13/12/2012
Tiger Woods PGA Tour 07,PlayStation 3,0.5,EA Sports,EA Redwood Shores,14/11/2006
Hotline Miami 2: Wrong Number,PlayStation 3,0,Devolver Digital,Unknown,10/3/2015
The God of War Trilogy,PlayStation 3,0.12,Sony Computer Entertainment,SCEA Santa Monica Studio,16/04/2010
Start the Party!,PlayStation 3,0.62,Sony Computer Entertainment,Supermassive Games Ltd.,7/9/2010
NHL 13,PlayStation 3,0.66,Electronic Arts,EA Canada,11/9/2012
NHL 10,PlayStation 3,0.57,EA Sports,EA Canada,15/09/2009
Call of Duty: Ghosts,PlayStation 3,10.13,Activision,Infinity Ward,5/11/2013
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen??PlayStation 3,0.08,Sony Computer Entertainment,Millennium Kitchen,https://www.vgchartz.com/games/boxart/full_boku-no-natsuyasumi-3-summer-holiday-20th-century_5JapanFront.jpg,
Pier Solar and the Great Architects,PlayStation 3,0,WaterMelon,WaterMelon Development,30/09/2014
Tom Clancy's HAWX 2,PlayStation 3,0.41,Ubisoft,Ubisoft Bucharest,7/9/2010
BADLAND: Game of the Year Edition,PlayStation 3,0,Frogmind,Frogmind,26/05/2015
Virtua Tennis 4,PlayStation 3,0.45,Sega,Sega-AM2,10/5/2011
Winning Post 7 2013,PlayStation 3,0.05,Tecmo Koei,Tecmo Koei Games,14/03/2013
Devil May Cry 4,PlayStation 3,1.58,Capcom,Capcom,5/2/2008
Muv-luv Photonmelodies,PlayStation 3,0.01,5pb,5pb. Inc.,28/08/2014
MindJack,PlayStation 3,0.18,Square Enix,FeelPlus,18/01/2011
Minecraft: Story Mode,PlayStation 3,0.89,Mojang,Telltale Games,27/10/2015
Sekai Saikyou Ginsei Igo: Hybrid Monte Carlo,PlayStation 3,0,SilverStar,SilverStarJapan,25/11/2010
Puppeteer,PlayStation 3,0.27,Sony Computer Entertainment America,SCE Japan Studio,10/9/2013
Soldier of Fortune: Payback,PlayStation 3,0.15,Activision,Cauldron Ltd.,14/11/2007
Ukiyo no Shishi,PlayStation 3,0.04,Namco Bandai Games,Spike Chunsoft,29/01/2015
MLB 16: The Show,PlayStation 3,0.38,Sony Computer Entertainment America,SCE San Diego Studio,29/03/2016
Wet 2,PlayStation 3,0,Unknown,Behaviour Interactive Inc.,
Blades of Time,PlayStation 3,0.1,Konami Digital Entertainment,Gaijin Games Inc.,6/3/2012
Turbo: Super Stunt Squad,PlayStation 3,0.02,D3Publisher,Monkey Bar Games,16/07/2013
Calling All Cars!,PlayStation 3,0,Sony Computer Entertainment,Incognito Entertainment,10/5/2007
Shaun White Snowboarding,PlayStation 3,0.66,Ubisoft,Ubisoft Montreal,16/11/2008
Just Dance 2017,PlayStation 3,0.13,Ubisoft,Ubisoft Paris,25/10/2016
Alone in the Dark: Inferno(JP sales),PlayStation 3,0,Unknown,Unknown,
Happy Feet Two,PlayStation 3,0.12,Warner Bros. Interactive,KMM Games,8/11/2011
The LEGO Movie Videogame,PlayStation 3,0.98,Warner Bros. Interactive Entertainment,TT Fusion,7/2/2014
The Club,PlayStation 3,0.23,Sega,Bizarre Creations,19/02/2008
Darksiders,PlayStation 3,0.28,THQ,Vigil Games,5/1/2010
NBA Live 10,PlayStation 3,0.54,EA Sports,EA Canada,6/10/2009
The Last of Us: Left Behind,PlayStation 3,0,Sony Computer Entertainment,Naughty Dog,12/5/2015
NCAA Football 12,PlayStation 3,0.83,EA Sports,EA Tiburon,12/7/2011
The Witch and the Hundred Knight,PlayStation 3,0.22,NIS America,Nippon Ichi Software,25/03/2014
Pro Evolution Soccer 2014,PlayStation 3,1.08,Konami Digital Entertainment,Konami,24/09/2013
Tears to Tiara: Kakan no Daichi,PlayStation 3,0.08,Aquaplus,Aquaplus,17/07/2008
Cabela's Dangerous Hunts 2009,PlayStation 3,0.13,Activision,Activision,23/09/2008
Sengoku Basara 4,PlayStation 3,0.27,Capcom,Capcom,23/01/2014
SingStar Motown,PlayStation 3,0.17,Sony Computer Entertainment,SCEE London Studio,10/11/2009
Aabs Animals,PlayStation 3,0,Unknown,Aabs,
Assassin's Creed: Revelations,PlayStation 3,4.23,Ubisoft,Ubisoft Montreal,15/11/2011
James Cameron's Avatar: The Game,PlayStation 3,0.9,Ubisoft,Ubisoft Montreal,1/12/2009
Zillions of Enemy X: Zetsukai no Crusade,PlayStation 3,0.02,Nippon Ichi Software,Nippon Ichi Software,23/05/2013
Tiger Woods PGA Tour 08,PlayStation 3,0.73,Electronic Arts,EA Redwood Shores,28/08/2007
Rogue Legacy,PlayStation 3,0,Cellar Door Games,Cellar Door Games,29/07/2014
Guitar Hero: Warriors of Rock,PlayStation 3,0.81,Activision,Neversoft Entertainment,28/09/2010
Transformers: Devastation,PlayStation 3,0.11,Activision,PlatinumGames,6/10/2015
Duke Nukem Forever,PlayStation 3,0.76,2K Games,Gearbox Software,14/06/2011
The Secret of Monkey Island,PlayStation 3,0,LucasArts,Unknown,23/07/2009
Adventure Time: The Secret of the Nameless Kingdom,PlayStation 3,0,Little Orbit,WayForward Technologies,18/10/2014
Kung Fu Rider,PlayStation 3,0.2,Sony Computer Entertainment,SCE Japan Studio,17/09/2010
Jak & Daxter Collection,PlayStation 3,0,Sony Computer Entertainment,Mass Media,7/2/2012
Rayman Trilogy,PlayStation 3,0,Unknown,Ubisoft,
SingStar,PlayStation 3,1.13,Sony Computer Entertainment,SCEE London Studio,20/05/2008
Naruto Shippuden: Ultimate Ninja Storm Collection,PlayStation 3,0.01,Namco Bandai Games,CyberConnect2,5/2/2016
PDC World Championship Darts: Pro Tour,PlayStation 3,0.1,O-Games,O-Games,26/11/2010
Angel Senki,PlayStation 3,0,Q Entertainment,Q Entertainment,7/7/2011
Frozen Synapse: Tactics,PlayStation 3,0,Double Eleven,Unknown,1/1/2014
LEGO Batman: The Videogame,PlayStation 3,1.31,Warner Bros. Interactive,Traveller's Tales,23/09/2008
Just Cause 2,PlayStation 3,1.75,Square Enix,Avalanche Studios,23/03/2010
Winning Post 8 2017,PlayStation 3,0.01,Tecmo Koei,Unknown,2/3/2017
Tom Clancy's Splinter Cell Trilogy,PlayStation 3,0.11,Ubisoft,Ubisoft,27/09/2011
Outdoors Unlimited,PlayStation 3,0,Mastiff,Mastiff,2/10/2012
XBLAZE Code: Embryo,PlayStation 3,0.04,Aksys Games,Arc System Works,24/06/2014
Lost: Via Domus,PlayStation 3,0.5,Ubisoft,Ubisoft Montreal,26/02/2008
Monopoly,PlayStation 3,0.34,Electronic Arts,EA Bright Light,20/10/2008
PAIN,PlayStation 3,0.01,Sony Computer Entertainment,Idol Minds Digital,24/06/2009
Shovel Knight: King of Cards,PlayStation 3,0,Unknown,Yacht Club Games,
Dunamis 15,PlayStation 3,0.02,5pb,5pb. Games,15/09/2011
Junior Work Zone,PlayStation 3,0,Unknown,Maximum,15/10/2011
Mafia II,PlayStation 3,1.49,2K Games,Illusion Softworks,24/08/2010
White Album: Tsuzurareru Fuyu no Omoide,PlayStation 3,0.05,Aquaplus,Aquaplus,24/06/2010
Phantom Breaker,PlayStation 3,0.01,5pb,Unknown,19/09/2013
Scene It? Bright Lights! Big Screen!,PlayStation 3,0.13,Warner Bros. Interactive,Screenlife Games,17/11/2009
Game of Thrones: Episode Four - Sons of Winter,PlayStation 3,0,Unknown,Telltale Games,
Test Drive: Ferrari Legends,PlayStation 3,0.04,Rombax Games,Slightly Mad Studios,3/7/2012
MLB 09: The Show,PlayStation 3,0.72,Sony Computer Entertainment,SCE San Diego Studio,3/3/2009
Jetpack Joyride,PlayStation 3,0,Big Ant Studios,Unknown,31/12/2012
Battlefield 3,PlayStation 3,7.21,Electronic Arts,Dice,25/10/2011
Zack Zero,PlayStation 3,0,Unknown,Unknown,17/01/2012
Disney Sing It! High School Musical 3: Senior Year,PlayStation 3,0.4,Disney Interactive Studios,Zoe Mode,17/02/2009
Ben 10 Omniverse 2,PlayStation 3,0,D3 Publisher,High Voltage Software,5/11/2013
Pro Yakyuu Spirits 2010,PlayStation 3,0.21,Konami,PawaPuro Production,1/4/2010
Sengoku Basara 3 Double Pack,PlayStation 3,0,Capcom,Unknown,15/03/2012
The King of Fighters XII,PlayStation 3,0.16,Ignition Entertainment,SNK Playmore Corporation,28/07/2009
LEGO The Lord of the Rings,PlayStation 3,1.06,Warner Bros. Interactive Entertainment,Unknown,13/11/2012
Mobile Suit Gundam: Crossfire,PlayStation 3,0.2,Namco Bandai,Namco Bandai Games America,13/11/2006
Batman: Arkham Origins Blackgate,PlayStation 3,0,Warner Bros. Interactive Entertainment,Armature Studio,1/4/2014
The King of Fighters XIII,PlayStation 3,0.3,Atlus,SNK Playmore Corporation,22/11/2011
FIFA 13,PlayStation 3,8.01,EA Sports,EA Canada,25/09/2012
Rock Band Country Track Pack,PlayStation 3,0.19,MTV Games,Harmonix Music Systems,21/07/2009
Star Trek: The Game,PlayStation 3,0.25,Namco Bandai Games,Digital Extremes,23/04/2013
Spider-Man 3,PlayStation 3,0.67,Activision,Treyarch,4/5/2007
Soul Calibur IV,PlayStation 3,0,Namco Bandai Games,Unknown,29/07/2008
MotoGP 15,PlayStation 3,0.06,Milestone S.r.l.,Milestone S.r.l.,24/06/2015
Kingdoms of Amalur: Reckoning,PlayStation 3,0.85,Electronic Arts,38 Studios,7/2/2012
Rinne no Lagrange: Kamogawa Days Game & OVA Hybrid Disc,PlayStation 3,0.02,Namco Bandai Games,Bandai Namco Games,23/08/2012
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PlayStation 3,0.08,THQ,THQ,13/09/2011
Rozen Maiden: Wechseln Sie Welt ab,PlayStation 3,0,5pb,Unknown,30/01/2014
Hot Shots Golf: Out of Bounds,PlayStation 3,1.14,Sony Computer Entertainment,Clap Hanz,18/03/2008
Super Robot Taisen OG Infinite Battle,PlayStation 3,0.04,Namco Bandai Games,B.B. Studio,28/11/2013
Tears to Tiara Gaiden: Avalon no Nazo,PlayStation 3,0.04,Aquaplus,Aquaplus,17/09/2009
Tony Hawk's Pro Skater HD,PlayStation 3,0,Unknown,Robomodo,
Kung Fu Panda 2,PlayStation 3,0.1,THQ,THQ,24/05/2011
The Idolm@ster 2,PlayStation 3,0.16,Bandai,Bandai Namco Games,27/10/2011
Buzz! Quiz TV,PlayStation 3,0.88,Sony Computer Entertainment,Relentless Software,23/09/2008
Red Faction: Guerrilla,PlayStation 3,0.74,THQ,Volition Inc.,2/6/2009
Saint Seiya: Brave Soldiers,PlayStation 3,0.07,Namco Bandai Games,Dimps Corporation,26/11/2013
WipEout HD Fury,PlayStation 3,0.07,Sony Computer Entertainment,Studio Liverpool,14/10/2009
Sengoku Musou 3 Empires,PlayStation 3,0.14,Tecmo Koei,Omega Force,25/08/2011
Resident Evil Chronicles HD,PlayStation 3,0.09,Capcom,Capcom,28/06/2012
Ski-Doo Snowmobile Challenge,PlayStation 3,0.1,Valcon Games,ColdWood Interactive,6/3/2009
WWE 2K15,PlayStation 3,0.8,2K Sports,Visual Concepts,28/10/2014
Iron Man 2,PlayStation 3,0.39,Sega,"Sega Studios, San Francisco",4/5/2010
Medal of Honor: Warfighter,PlayStation 3,1.42,Electronic Arts,Danger Close Games,23/10/2012
Mars,PlayStation 3,0,Unknown,Spiders Games,
Need for Speed: Most Wanted (2012),PlayStation 3,2.74,Electronic Arts,Criterion Games,30/10/2012
Sengoku Hime 4: Souha Hyakkei Hanamamoru Chikai,PlayStation 3,0,SystemSoft Alpha,Unknown,27/02/2014
Shin Megami Tensei,PlayStation 3,0,Unknown,Atlus Co.,
Assassin's Creed III,PlayStation 3,6.5,Ubisoft,Ubisoft Montreal,30/10/2012
Blur,PlayStation 3,0.72,Activision,Bizarre Creations,25/05/2010
Dream C Club,PlayStation 3,0.02,D3Publisher,Unknown,15/11/2012
Mist of Chaos,PlayStation 3,0.01,Idea Factory,Idea Factory,22/03/2007
ProBaseball:Unlimited,PlayStation 3,0,Q Entertainment/UserJoy Technology,Unknown,15/04/2014
Project Mercury,PlayStation 3,0,Unknown,Big Huge Games,
SingStar Dance,PlayStation 3,0.52,Sony Computer Entertainment,SCEE London Studio,9/11/2010
Star Wars: 1313,PlayStation 3,0,LucasArts,Unknown,31/12/2020
Brink,PlayStation 3,0.73,Bethesda Softworks,Splash Damage,10/5/2011
Disgaea: Hour of Darkness,PlayStation 3,0,Sony Computer Entertainment America,Unknown,15/01/2013
Harry Potter and the Order of the Phoenix,PlayStation 3,0.24,Electronic Arts,EA Games,25/06/2007
Shin Megami Tensei: Digital Devil Saga,PlayStation 3,0,Atlus,Unknown,20/05/2014
